source,_nfc,_iv,_mfi,_ofi,_icpf,_govt,_hh,_row
iv,1087.83,1271.39,615.5,460.06,41.11,936.68,13.15,3752.01
ofi,1987.58,272.85,213.49,1771.38,94.42,579.86,514.3,2666.45
nfc,3528.6,340.88,215.29,312.3,11.91,134.83,18.81,1197.87
mfi,4327.98,317.6,1799.79,2198.48,149.58,4034.57,5283.66,2310.38
icpf,539.46,2431.29,679.9,335.77,141.24,1862.99,154.63,1322.9
govt,452.21,158.49,113.75,94.46,16.46,789.43,81.26,238.9
hh,672.07,1865.24,607.78,130.92,44.41,175.51,20.99,226.52
row,3271.37,2440.01,1941.41,4260.62,156.82,2721.55,0,0
