source,_nfc,_iv,_mfi,_ofi,_icpf,_govt,_hh,_row
iv,1416.91,1620.42,651.86,611.77,50.44,839.36,30.79,4881.75
ofi,1823.91,403.53,178.91,1646.25,85.65,530.01,477.55,2699.43
nfc,4141.23,389.3,202.2,350.58,17.96,139.2,18.87,1391.45
mfi,4373.96,349.1,1813.16,2220,141.31,4711.15,5531.76,2430.17
icpf,670.06,3016.25,668.62,383.54,169.02,1905,158.63,1508.37
govt,472.65,214.54,111.54,88.09,16.46,800.76,82.6,244.3
hh,778.56,2176.75,463.45,142.52,28.56,163.6,20.32,265.61
row,3544.66,2883.52,2002.4,4478.93,190.3,2347.73,0,0
