source,_nfc,_iv,_mfi,_ofi,_icpf,_govt,_hh,_row
iv,1123.36,1369.63,560.19,486.33,39.11,907.82,20.86,4140.3
ofi,1996.33,309.66,153.81,1872.23,90.96,577.98,500.03,2590.33
nfc,3569.88,343.33,197.75,356.88,12.47,134.21,18.52,1354.52
mfi,4327.46,333.52,1801.92,2235.29,133.22,4440.25,5354.97,2482.92
icpf,583.91,2616.07,687.24,372.9,141.66,1954.64,157.74,1467.57
govt,438.04,184.46,105.96,89.33,16.54,802.62,80.77,241.88
hh,681.16,1921.75,495.59,127.48,44.35,201.42,20.71,241.96
row,3382.46,2508.6,1922.91,4306.13,149.95,2703.41,0,0
