source,_nfc,_iv,_mfi,_ofi,_icpf,_govt,_hh,_row
iv,1132.14,1333.22,605.1,502.7,47.63,915.71,16,3980.96
ofi,1975.78,284.4,205.61,1862.58,98.48,579.66,496.45,2705.55
nfc,3605.85,344.43,219.12,355.24,13.27,136.81,18.76,1267.17
mfi,4283.6,315.01,1773.06,2187.29,140.39,4079.51,5316.77,2375.17
icpf,562.02,2516.19,669.02,348.15,146.1,1855.18,156.14,1381.7
govt,447.76,168.97,110.36,91.98,16.62,813.56,80.77,239.89
hh,726.6,1936.88,590.49,135.44,47.75,183.29,20.83,242.83
row,3450.4,2559.13,1961.17,4353.81,168.28,2686.76,0,0
