source,_nfc,_iv,_mfi,_ofi,_icpf,_govt,_hh,_row
iv,1280.46,1470.23,589.96,502.5,45.45,858.27,25.26,4456.91
ofi,1861.78,329.21,164.14,1949.39,98.22,553.53,489.26,2664.58
nfc,3828.76,348.25,210.93,366.87,16.76,131.73,18.64,1355.61
mfi,4315.7,327.52,1828.1,2238.14,133.4,4500.37,5418.13,2487.03
icpf,636.76,2839.3,656.52,382.67,169.35,1916.28,154.17,1472.89
govt,442.54,199.11,112.2,88.48,16.46,813.17,80.66,250.12
hh,751.09,1979.29,473.32,137.44,26.14,181.55,20.52,262.62
row,3498.21,2661.82,2027.15,4447.88,172.29,2487.47,0,0
