source,_nfc,_iv,_mfi,_ofi,_icpf,_govt,_hh,_row
iv,1033.55,1054.06,602.22,431.66,35.77,897.85,6.9,3118.48
ofi,1654.89,197.77,177.06,1219.89,80.56,560.79,547.87,2157.18
nfc,3368.95,307.55,263.07,280.79,14.1,176.77,17.88,1017.72
mfi,4288.22,299.37,1948.81,2292.42,124.49,3738.05,5204.75,2011.9
icpf,515.38,2162.94,701.36,345.98,138.6,1709.53,151.88,1189.23
govt,483.31,157.46,132.05,97.07,18.17,854.85,78.8,216.73
hh,715.37,1566.16,774.83,150.25,40.69,244.02,21.32,212.83
row,2688.58,2195.22,1879.77,3307.97,143.6,2735.22,0,0
