source,_nfc,_iv,_mfi,_ofi,_icpf,_govt,_hh,_row
iv,1363.16,1578.87,641.47,559.78,47.3,835.13,29.08,4746.27
ofi,1866.75,381.06,168.46,1656.1,82.6,527.68,485.56,2765.36
nfc,4061.94,376.67,195.91,352.49,17.61,140.86,18.75,1388.63
mfi,4382.4,333.07,1837.37,2242.37,142.78,4666.43,5494.31,2450.2
icpf,646.47,2955.54,673.55,388.16,170.72,1919.27,156.99,1486.4
govt,462.66,209.2,108.12,84.06,16.29,809.8,80.43,241.15
hh,760.72,2127.67,465.4,138.73,27.38,169,20.4,261.45
row,3559.68,2804.74,2001.5,4483.98,183.83,2394.52,0,0
