source,_nfc,_iv,_mfi,_ofi,_icpf,_govt,_hh,_row
iv,933.36,948.16,551.07,410.58,41.61,810.23,5.71,2843.7
ofi,1586.77,173.89,154.26,1136.95,64.97,541.89,517.06,1961.84
nfc,3326.52,292.23,270.46,249.32,15.74,155.37,18.35,1111.7
mfi,4266.59,278.53,1996.28,2356.08,118.47,3682.21,5245.56,1929.53
icpf,471.38,1988.91,679.46,321.19,138.73,1600.89,150.25,1096.49
govt,464.36,152.89,132.31,102.23,16.15,803.53,71.26,222.37
hh,671.81,1431.53,823.14,173.07,40.21,233.45,21.21,190.95
row,2583.19,2062.57,1778.75,2990.45,145.97,2429.01,0,0
