source,_nfc,_iv,_mfi,_ofi,_icpf,_govt,_hh,_row
iv,1344.01,1544,608.81,533.23,48.45,825.2,26.93,4705.93
ofi,1847.04,371.11,161.03,1751.39,92.91,525.4,478.42,2907.11
nfc,3991.88,363.75,231.69,357.65,18.07,126.44,18.73,1420.39
mfi,4397.31,336.75,1836.62,2266.74,141.33,4624.36,5450.59,2532.07
icpf,652.02,2901.06,657.6,383.03,171.77,1883.08,155.48,1509.61
govt,455.95,206.59,112.94,87.55,16.91,789.74,80.73,250.54
hh,760.54,2066.62,476.58,138.63,28.06,168.68,20.46,272.02
row,3640.22,2808.58,2070.97,4593.79,179.89,2439.16,0,0
