source,_nfc,_iv,_mfi,_ofi,_icpf,_govt,_hh,_row
iv,1123.08,1316.82,574.04,470.13,43.77,919.48,18.71,3918.4
ofi,2000.85,299.36,169.16,1798.08,86.21,578.76,481.53,2615.69
nfc,3560.75,338.26,206.36,351.09,13.27,132.12,18.76,1317.77
mfi,4303.24,320.67,1770.23,2223.47,134.08,4295.3,5332.13,2381.69
icpf,578.37,2551.16,693.67,362.28,142.2,1909.12,155.97,1410.95
govt,445.25,181.24,111.94,89.09,16.82,803.39,80.63,234.47
hh,710.82,1909.96,529.2,129.32,46.01,198.3,20.88,233.53
row,3353.55,2428.81,1903.29,4327.73,161.17,2734.56,0,0
