source,_nfc,_iv,_mfi,_ofi,_icpf,_govt,_hh,_row
iv,1010.56,1186.4,593.01,435.49,40.43,931.48,8.77,3499.58
ofi,1879.48,258.27,213.08,1597.17,93.45,607.1,542.46,2434.4
nfc,3390.9,310.1,240.02,312.51,14.71,165.7,18.67,1073.14
mfi,4314.8,301.77,1840.49,2212.09,146.34,3831.06,5216.25,2152.11
icpf,528.03,2309.88,691.15,353.54,139.09,1842.77,153.08,1289.64
govt,459.73,159.16,122.91,97.26,17.74,863.77,80.01,240.84
hh,687.34,1675.09,686.15,145.82,43.13,211.91,21.4,223.98
row,2747.03,2362.59,1932.35,3807.74,154.49,2722.92,0,0
