source,_nfc,_iv,_mfi,_ofi,_icpf,_govt,_hh,_row
iv,993.52,992.85,589.56,419.34,42.85,867.47,6.18,2898.28
ofi,1612.98,187.67,175.29,1055.98,68.67,540.33,507.74,2101.53
nfc,3348.59,300.1,265.6,264.77,15.71,180.92,17.82,990.27
mfi,4284.24,282.4,1990.86,2280.47,125.26,3741.61,5232.23,1959.62
icpf,504.84,2068.13,694.07,332.07,138.76,1654.2,150.09,1136.74
govt,483.15,154.59,138.59,98.57,18.71,823.82,78.25,216.41
hh,713.66,1495.74,818.27,154.43,41.05,239.61,21.28,211.5
row,2596.2,2076.83,1844.29,3239.13,141.33,2585.04,0,0
