source,_nfc,_iv,_mfi,_ofi,_icpf,_govt,_hh,_row
iv,1420.54,1669.74,652.34,627.29,50.67,825.77,32.83,5061.69
ofi,1852.18,413.11,182.63,1512.07,108.31,534.72,472.41,2664.95
nfc,4179.47,400.8,186.16,358.31,18.24,135.28,18.79,1343.51
mfi,4409.92,341.4,1814.48,2200,128.48,4693.6,5606.23,2374.33
icpf,663.71,3046.66,661.71,394.25,159.34,1938.38,161.53,1556.09
govt,480.36,220.27,99.51,91.38,16.04,825.11,85.34,243.11
hh,777.64,2224.06,431.88,137.07,27.94,152.14,20.35,269.55
row,3500.28,3018.01,1956.65,4371.75,197.05,2308.31,0,0
