source,_nfc,_iv,_mfi,_ofi,_icpf,_govt,_hh,_row
iv,1170.89,1329.66,618.47,497.33,47.26,968.93,9.39,4017.11
ofi,1975.69,303.4,216.44,1587.29,107.36,582.68,519.49,2668
nfc,3682.34,347.28,226.49,365.22,14.7,137.37,18.82,1172.27
mfi,4363,324.69,1847.63,2239.91,163.63,3997.3,5235.29,2399.27
icpf,552.13,2503.16,702.64,362.17,146.15,1926.62,153.66,1427.82
govt,486,169.22,119.82,86.54,17.17,781.57,79.35,258.32
hh,775.39,1899.15,664.65,147.71,47.61,208.92,21.27,269.74
row,3511.38,2661.55,2187.4,4335.41,164.12,2914.16,0,0
