source,_nfc,_iv,_mfi,_ofi,_icpf,_govt,_hh,_row
iv,1265.84,1425.44,564.27,491.76,40.6,895.17,23.27,4301.73
ofi,1920.8,324.75,152.46,1893.9,94.78,551.22,493.16,2693.55
nfc,3682.58,352.11,204.66,358.03,12.49,133.02,18.55,1305.49
mfi,4330.79,334.42,1832.75,2259.2,139.06,4482.12,5386.58,2519.65
icpf,623,2718.86,679.3,385.93,150.65,1963.28,160.23,1478.67
govt,444.26,193.12,107.04,88.39,16.3,784.85,80.76,242.22
hh,716.07,1984.77,480.29,128.69,45.56,193.99,20.57,252.11
row,3409.27,2595.5,1947.35,4291.93,155.47,2669.99,0,0
