source,_nfc,_iv,_mfi,_ofi,_icpf,_govt,_hh,_row
iv,1015.06,1102.95,606.3,457.97,36.61,914.33,7.98,3362.91
ofi,1643.87,211.57,186.15,1214.69,88.77,575.09,539.57,2250.79
nfc,3362.48,316.84,255.64,288.53,13.86,179.32,18.14,1044.64
mfi,4281.19,300.39,1927.83,2246.11,135.04,3814.45,5206.47,2135.43
icpf,528.38,2239.41,701.94,344.64,139.08,1757.57,151.77,1229.45
govt,477.23,160.17,131.85,93.38,18.03,833.35,79.5,222.8
hh,688.3,1627.26,741.09,147.02,41.07,217.84,21.36,226.41
row,2720.59,2314.45,1980.31,3443.3,147.99,2722.27,0,0
