source,_nfc,_iv,_mfi,_ofi,_icpf,_govt,_hh,_row
iv,1127.31,1334.75,615.36,479.37,40.68,918.79,10.46,4015.31
ofi,1973.06,285,215.28,1691.07,101.43,562.55,516.75,2700.43
nfc,3569.36,344.42,212.42,334.74,12.79,132.46,18.81,1189.5
mfi,4371.85,322.12,1831.52,2193.44,164.56,3942.5,5263.95,2368.6
icpf,535.45,2471.59,684.95,337.71,142.86,1825.08,153.21,1338.61
govt,471.53,165.03,120.17,94.5,16.87,778.98,80.49,243.71
hh,710.23,1907.57,639.49,137.17,43,186.58,21.11,247.06
row,3452.33,2618.07,2005.82,4282.11,154.73,2769.07,0,0
