source,_iv,_mfi,_hh,_row
iv,26.57,0,0,32.6
ofi,15.51,0,0,2
nfc,9.34,0.01,0,2.17
mfi,7.6,0,0,8.72
icpf,46.61,0,0,9.73
govt,9.37,0,0,0.39
hh,43.94,0.02,0,16.81
row,20.57,0.02,0,0
