source,_iv,_mfi,_hh,_row
iv,25,0,0,24.37
ofi,12.81,0,0,1.38
nfc,9.31,0.01,0,1.21
mfi,7.53,0,0,6.98
icpf,44.02,0,0,8.48
govt,8.42,0,0,0.36
hh,41.09,0.04,0,12.57
row,19.49,0.02,0,0
