source,_iv,_mfi,_hh,_row
iv,0,0,0,0.14
ofi,0.01,0,0,0.1
nfc,0.04,0,0,0.12
mfi,0,0,0,0.04
icpf,0.15,0,0,1.17
govt,0.03,0,0,0
hh,0.06,0,0,0.12
row,0.29,0,0,0
