source,_nfc,_iv,_mfi,_ofi,_icpf,_govt,_hh,_row
iv,0.03,0,0,0,0,0.03,0,0.26
ofi,0.01,0,0,0,0,0,0,0
nfc,0.04,0,0.01,0,0,0.04,0,0.01
mfi,0.2,0,0.29,0,0,8.03,0,6.79
icpf,0.33,0,0.15,0.02,0.02,1.55,0,3.45
govt,0.02,0,0.01,0,0,0.16,0,0.33
hh,0.03,0,0,0,0,0.04,0,0
row,0.44,0,0.68,0,0,22.19,0,0
