source,_iv,_mfi,_hh,_row
iv,27.36,2.93,0,90.84
ofi,2.76,0,0,21.88
nfc,1.63,0,0,8.45
mfi,0.58,0,0,4.28
icpf,727.61,3.04,0,92.36
govt,0.62,0,0,0
hh,32.31,0.01,0,42.73
row,9.33,1.72,0,0
