source,_iv,_mfi,_hh,_row
iv,27.19,3.92,0,57.99
ofi,3.31,0,0,26.07
nfc,1.59,0,0,1.25
mfi,1,0,0,5.96
icpf,631.4,3.48,0,99.79
govt,0.82,0,0,0
hh,26.23,0.01,0,39.25
row,14.87,0.86,0,0
