source,_iv,_mfi,_hh,_row
iv,25.49,4.35,0,73.43
ofi,3.36,0,0,16
nfc,1.53,0,0,6.19
mfi,0.61,0,0,5.88
icpf,670.57,3.64,0,96.42
govt,0.7,0,0,0
hh,29.52,0.01,0,44.77
row,11.37,0.6,0,0
