source,_iv,_mfi,_hh,_row
iv,0,0,0,0.02
ofi,0.04,0,0,0.01
nfc,0.01,0,0,0.02
mfi,0.04,0,0,0.01
icpf,0.06,0,0,1.53
govt,0.01,0,0,0
hh,0.03,0,0,0.23
row,0.18,0,0,0
