source,_iv,_mfi,_hh,_row
iv,1658.67,133.82,0,250.74
ofi,394.55,20.73,0,5.6
nfc,399.81,78.96,0,6.39
mfi,265.8,60.09,0,12.79
icpf,3045.3,130.12,0,221.44
govt,214.95,18.32,0,42.97
hh,2222.52,36.17,0,42.58
row,3015.33,668.44,0,0
