source,_nfc,_iv,_mfi,_ofi,_icpf,_govt,_hh,_row
iv,0,0,0,0,0,0,0,23.29
ofi,65.32,0,0,0,0,0,43.35,412.54
nfc,15.33,0,0,5.34,0,0.02,1,87.9
mfi,52.81,0.06,0,7.29,0.46,1.09,100.52,50.41
icpf,0,0,0,0,0,0,0,0.32
govt,1.79,0,0,0,0,4.7,2.64,0
hh,0,0,0,0,0,0,0,0
row,133.14,2.85,0,110.72,2.49,70.78,0,0
