source,_nfc,_iv,_ofi,_icpf,_govt,_hh,_row
iv,5.3,8.91,53.66,0.01,1.24,0,3.04
ofi,444.58,13.52,308.07,31.3,18.06,10.97,252.82
nfc,1169.62,0.11,118.9,0.34,1.09,0.75,420.99
mfi,819.47,27.08,396.47,96.74,140.53,242.14,489.86
icpf,5.04,0.07,31.83,67.87,6.48,1,-1.09
govt,30.98,0.04,22.43,0.01,94.21,1.19,21.84
hh,15.11,0.47,5.49,0.24,0.09,2.8,0
row,160.58,0,669.4,59.87,9.44,0,0
