source,_nfc,_iv,_ofi,_icpf,_govt,_hh,_row
iv,1.19,8,38.1,0.01,0.93,0,0.58
ofi,435.79,3.38,57.31,22.33,14.32,14.59,242.76
nfc,1005.08,0.04,100.48,0.28,1.51,0.82,422.1
mfi,874.4,20.87,416.36,82.83,153.12,275.03,408.37
icpf,5.18,0.06,27.82,56.04,6.67,4.63,4.65
govt,33.02,0,24.2,0.01,56.95,1.21,15.57
hh,16.9,0.41,4.06,0.09,0.05,3.57,0
row,157.49,0,461.9,53.85,11.91,0,0
