source,_nfc,_iv,_ofi,_icpf,_govt,_hh,_row
iv,3.27,8.35,38.29,0.09,1.25,0,0.65
ofi,465.69,9.01,365.15,31.68,14.98,14.74,258.27
nfc,1143.16,0.18,133.33,0.24,0.94,0.81,421.34
mfi,887.23,27.21,432.42,109.13,155.34,258.71,479.1
icpf,5.23,0.08,28.56,59.44,7.81,4.77,4.65
govt,33.03,0,22.82,0.01,81.54,1.19,19.73
hh,17.04,0.38,5.18,0.39,0.08,3.28,0
row,160.2,0,530.67,54.98,13.22,0,0
