source,_nfc,_iv,_ofi,_icpf,_govt,_hh,_row
iv,1.15,8.05,44.32,0.01,0.93,0,0.33
ofi,438.24,4.64,205.52,36.25,11.67,16.14,246.29
nfc,1051.96,0.02,112.93,0.23,0.91,0.84,423.51
mfi,871.65,22.97,410.91,90.61,154.75,270.51,466.41
icpf,5.18,0.07,26.44,57.86,6.66,4.67,3.02
govt,31.56,0,22.91,0.01,66.97,1.21,18.59
hh,16.93,0.41,4.44,0.12,0.1,3.62,0
row,160.55,0,477.16,55.36,10.38,0,0
