source,_nfc,_iv,_ofi,_icpf,_govt,_hh,_row
iv,1.16,8,37.04,0.01,0.93,0,0.46
ofi,440.33,2.47,219.98,27.99,12.8,14.63,246.73
nfc,1025.64,0.03,108.77,0.28,1.1,0.8,423.54
mfi,886.46,24.22,409.81,83.72,151.73,279.81,428.49
icpf,5.42,0.06,29.62,56.79,6.3,4.67,6.39
govt,41.41,0,24.71,0.01,69.47,1.21,16.2
hh,17.04,0.41,4.29,0.23,0.06,3.6,0
row,162.3,0,458.7,54.74,8.76,0,0
