source,_nfc,_iv,_ofi,_icpf,_govt,_hh,_row
iv,5.8,9.24,52.12,0.01,0.85,0,3.3
ofi,426.28,15.04,302.21,22.65,13.91,10.84,261.06
nfc,1185.29,0.13,114.4,0.33,1.11,0.76,421.8
mfi,781.16,33.61,377.74,96.15,134.47,233.47,487.66
icpf,5.16,0.08,30.01,67.1,6.76,1,-1.77
govt,30.79,0.03,27.09,0.01,79.99,1.19,21.77
hh,15.16,0.54,5.52,0.12,0.08,2.74,0
row,161.92,0,682.58,61.82,11.12,0,0
