source,_nfc,_iv,_ofi,_icpf,_govt,_hh,_row
iv,1.52,7.58,39.87,0.01,0.82,0,0.94
ofi,445.99,6.78,310.2,39.82,11.14,15.49,255.85
nfc,1138.26,0.15,131.08,0.24,0.97,0.82,423.84
mfi,919.49,25.26,455.98,122.43,161.12,268.9,510.17
icpf,5.3,0.08,25.95,59.91,8.55,4.76,0.17
govt,33.88,0,22.93,0.01,78.58,1.19,18.07
hh,17.19,0.27,5.3,0.14,0.08,3.4,0
row,161.78,0,529.99,53.25,13.98,0,0
