source,_nfc,_iv,_ofi,_icpf,_govt,_hh,_row
iv,5.5,8.97,51.22,0.02,0.51,0,3.04
ofi,427.17,7.38,290.24,33.15,14.05,11.02,260.65
nfc,1168.29,3.69,127.56,0.33,0.91,0.76,422.3
mfi,817.65,29.73,423.19,96.61,150.17,239.23,505.13
icpf,5.06,0.09,31.75,67.68,6.87,1.41,-0.51
govt,32.46,0.03,22.86,0.01,88.31,1.2,19.31
hh,15,0.53,5.38,0.18,0.08,2.85,0
row,168.44,0,672.48,61.3,13.09,0,0
