source,_nfc,_iv,_ofi,_icpf,_govt,_hh,_row
iv,3.29,8.14,34,0.02,0.95,0,1.29
ofi,524.02,5.97,300.12,33.16,16.11,12.62,263.12
nfc,1117.22,0.05,131.82,0.28,0.89,0.76,423.11
mfi,864.01,32.02,444.56,95.09,174.18,250.87,469.2
icpf,5.35,0.08,35.23,60.8,7.2,4.81,13.15
govt,32.23,0.01,22.13,0.01,84.64,1.24,21.1
hh,14.62,0.37,4.3,0.73,0.09,3.2,0
row,169.12,0,617.72,57.46,15.7,0,0
