source,_nfc,_iv,_ofi,_icpf,_govt,_hh,_row
iv,5.37,8.08,49.26,0.02,0.6,0,1.76
ofi,529.15,8.02,325.88,37.01,19.08,12.22,257.06
nfc,1121.75,0.04,138.37,0.26,0.93,0.76,421.59
mfi,867.43,33.2,428.22,92.78,172.29,256.25,495.37
icpf,5.3,0.09,34.98,61.88,6.79,4.71,11.29
govt,30.27,0.04,22.49,0.01,95.99,1.24,22.71
hh,14.69,0.33,3.99,0.97,0.08,3.09,0
row,165.66,0,620.89,56.48,17.39,0,0
