source,_nfc,_iv,_ofi,_icpf,_govt,_hh,_row
iv,5.36,8.93,47.92,0.02,0.07,0,2.15
ofi,502.04,6.12,321.26,38.52,17.51,11.94,260.7
nfc,1119.01,0.05,120.08,0.28,0.99,0.76,423.25
mfi,825.68,32.7,423.55,97.39,152.85,247.56,500.48
icpf,5.2,0.09,38.85,61.45,6.77,4.85,12.99
govt,29.08,0.04,22.35,0.01,85.98,1.23,23.04
hh,14.81,0.6,4.12,0.66,0.08,2.94,0
row,159.09,0,619.88,58.2,15.45,0,0
