source,_nfc,_iv,_ofi,_icpf,_govt,_hh,_row
iv,3.24,8.5,36.06,0.02,1.35,0,1.22
ofi,456.8,9.61,319.68,38.01,12.13,14.37,258.86
nfc,1109.28,0.05,136.33,0.24,0.89,0.76,421.5
mfi,848.1,23.9,415.8,99.64,152.25,257.68,438.13
icpf,5.2,0.09,26.6,60.16,6.91,4.79,4.61
govt,36.55,0.02,22.59,0.01,91.41,1.26,19.39
hh,14.92,0.32,4.97,0.46,0.08,3.16,0
row,163.35,0,572.75,56.75,14.78,0,0
