source,_nfc,_iv,_ofi,_icpf,_govt,_hh,_row
iv,1.08,8.04,35.77,0.01,0.93,0,0.92
ofi,459.17,9.16,273.34,34.77,15.38,15.92,253.45
nfc,1070.75,0.15,116.17,0.24,0.96,0.83,424.59
mfi,920.71,26.27,425.65,102.81,162.42,265.36,445.84
icpf,4.92,0.09,32.23,59.04,7.73,4.7,6.65
govt,37.99,0,24.87,0.01,82.44,1.23,19.03
hh,17.22,0.34,4.23,0.34,0.11,3.65,0
row,163.2,0,510.6,57.59,10.74,0,0
