source,_nfc,_iv,_ofi,_icpf,_govt,_hh,_row
iv,6.66,9.81,52.43,0.01,0.62,0,5.51
ofi,440.61,12.02,233.19,40.98,10.96,12.12,259.24
nfc,1211.85,0.12,106.42,0.4,1.57,0.77,421.67
mfi,781.95,25.8,378.36,83.39,130.26,234.24,464.68
icpf,4.55,0.08,41.72,65.78,10.34,0.94,10.05
govt,34.36,0.01,22.43,0.01,92.6,1.17,21.48
hh,15.31,0.51,5.91,0.05,0.04,2.74,0
row,158.65,0,681.29,64.08,9.5,0,0
