source,_nfc,_iv,_ofi,_icpf,_govt,_hh,_row
iv,5.53,9.36,44.62,0.03,0.36,0,2.55
ofi,451.79,7.28,327.82,41.36,14.25,11.35,249.9
nfc,1144.84,0.11,118.49,0.33,0.92,0.75,424.67
mfi,804.06,26.36,411.57,87.85,148.69,241.45,463.54
icpf,3.83,0.07,30.24,67.32,6.59,1.35,-2.11
govt,36.09,0.04,22.84,0.01,88.33,1.21,19.84
hh,14.95,0.58,4.82,0.05,0.07,2.89,0
row,165.14,0,626.3,60.44,14.93,0,0
