source,_nfc,_iv,_ofi,_icpf,_govt,_hh,_row
iv,1.14,7.98,36.16,0.01,0.93,0,0.11
ofi,409.39,3.04,191.31,22.27,18.77,13.32,247.42
nfc,1008.22,0.02,96.75,0.15,2.44,0.84,429.95
mfi,864.92,18.06,429.09,73.45,157.73,278.19,381.33
icpf,5.15,0.06,25.29,54.43,6.14,4.59,2.89
govt,39.16,0,25.34,0.01,62.68,1.22,15.28
hh,16.96,0.02,1.77,0.07,0,3.55,0
row,152.58,0,425.79,54.61,13.66,0,0
