source,_iv,_mfi,_hh,_row
iv,8.18,7.38,0,39.76
ofi,0.55,0,0,1.52
nfc,3.75,0,0,7.2
mfi,0.06,0.01,0,0.96
icpf,13.03,0.26,0,38.07
govt,1.18,0,0,0.83
hh,79.29,0.41,0,99.73
row,26.99,3.34,0,0
