source,_nfc,_iv,_mfi,_ofi,_icpf,_govt,_hh,_row
iv,0,0,0,0.01,0,0,0,0
ofi,0.19,0,0,0,0,0,0.02,24.87
nfc,2.81,0,0,0.01,0,0,0.07,0.24
mfi,2.66,0,0,0.47,0.01,0.15,4.63,8.48
icpf,0,0,0,0,0,0,0.01,3.71
govt,0.03,0,0,0,0,0,0,0.22
hh,0.61,0,0,0.07,0,0,0,0
row,1.43,0.07,0,0.21,0.02,0.2,0,0
