source,_iv,_mfi,_hh,_row
iv,15.52,0.47,0,10.57
ofi,1.22,0.04,0,1.25
nfc,5.78,0.22,0,0.75
mfi,0.88,0.02,0,0.9
icpf,25.54,1.24,0,9.92
govt,11.22,0.68,0,75.13
hh,23.05,0.55,0,3.39
row,19.1,0.04,0,0
