source,_iv,_mfi,_hh,_row
iv,16.98,0.56,0,11.55
ofi,1.29,0.02,0,1.37
nfc,7.18,0.54,0,0.62
mfi,0.93,0.02,0,1.01
icpf,27.66,0.82,0,10.16
govt,11.73,0.62,0,85.38
hh,25.24,0.56,0,3.88
row,21.03,0.04,0,0
