source,_iv,_mfi,_hh,_row
iv,11.7,0.71,0,9.91
ofi,1.58,0.03,0,0.9
nfc,6.01,0.22,0,0.69
mfi,0.78,0.02,0,1.26
icpf,25.05,0.98,0,11.56
govt,10.2,0.7,0,64.66
hh,23.95,0.72,0,4.55
row,19.09,0.04,0,0
