source,_iv,_mfi,_hh,_row
iv,0,0,0,0.8
ofi,0.48,0.03,0,0
nfc,0.06,0,0,0.02
mfi,0,0,0,0.07
icpf,0.53,0.01,0,1.55
govt,0,0,0,0
hh,4.09,0.04,0,0.41
row,0.13,0,0,0
