source,_iv,_mfi,_hh,_row
iv,0,0,0,0.6
ofi,0.43,0.03,0,0
nfc,0.07,0,0,0.02
mfi,0.04,0,0,0.03
icpf,0.39,0.01,0,1.43
govt,0,0,0,0
hh,3.72,0.04,0,0.35
row,0.12,0,0,0
