source,_iv,_mfi,_hh,_row
iv,0.03,0,0,0.02
ofi,0.06,0,0,0.12
nfc,0.24,0,0,0.01
mfi,0,0,0,0.79
icpf,0.04,0,0,2.42
govt,0,0,0,0
hh,0.25,0,0,0.33
row,0.16,0,0,0
