Node,Sector,time,Assets,Liabilities
iv,Non-banks,2014-Q1,2.33,4.69
nfc,Real economy,2014-Q1,67.53,117.03
mfi,Banks,2014-Q1,84.24,82.94
ofi,Non-banks,2014-Q1,7.52,3.21
icpf,Non-banks,2014-Q1,14.32,13.57
hh,Real economy,2014-Q1,53.81,25.32
govt,Real economy,2014-Q1,38.28,63.36
row,row,2014-Q1,5000,5000
