source,_nfc,_iv,_mfi,_ofi,_icpf,_govt,_hh,_row
iv,0.18,0.41,0.41,0.05,0,0.06,0,2.23
ofi,3.09,0.11,0,0.07,0,0.01,1.36,0.45
nfc,4.4,0.06,0.02,0.49,0,0.04,0.02,4.41
mfi,16.1,0.12,1,0.9,0,15.52,26.05,14.7
icpf,0.18,0.5,0.99,0.02,0,2.19,0.01,8.4
govt,1.57,0,0,0,0,8.02,0.15,1.88
hh,0.55,4.45,0.56,0.33,0,0.07,0,1.19
row,17,0.14,4.39,2.81,0.2,23.74,0,0
