source,_iv,_mfi,_hh,_row
iv,0,0,0,0.06
ofi,0.14,0,0,0.23
nfc,0.48,0,0,0.03
mfi,0.02,0,0,0
icpf,0,0,0,1.22
govt,0,0,0,0
hh,0.12,0,0,0.03
row,1.62,0,0,0
