source,_iv,_mfi,_hh,_row
iv,0,0,0,0.07
ofi,0.16,0,0,0.18
nfc,0.52,0,0,0.04
mfi,0.02,0,0,0
icpf,0,0,0,1.13
govt,0,0,0,0
hh,0.12,0,0,0.03
row,1.59,0,0,0
