source,_iv,_mfi,_hh,_row
iv,251.71,13.26,0,199.08
ofi,16.47,1.18,0,21.02
nfc,0.1,0,0,0.01
mfi,1.13,3.9,0,3.1
icpf,38.78,2.25,0,27.12
govt,0.12,0,0,0
hh,7.7,0.27,0,1.19
row,2986,230.91,0,0
