source,_iv,_mfi,_hh,_row
iv,209.49,6.76,0,138.07
ofi,11.13,0.86,0,15.58
nfc,0.48,0.21,0,0.77
mfi,0.9,3.13,0,2.46
icpf,33.63,1.57,0,22.68
govt,0.03,0,0,0
hh,5.62,0.36,0,0.98
row,2436.48,177.08,0,0
