source,_nfc,_iv,_mfi,_ofi,_icpf,_govt,_hh,_row
iv,2.72,13.62,0.42,1.57,0.02,0.89,0,111.88
ofi,114.94,0.34,0.08,55.15,0.4,5.67,62.28,338.37
nfc,183.35,3.83,0.81,43.24,0,17.06,0,261.26
mfi,100.15,0.41,1.13,111.32,9.09,107.76,143.93,220.02
icpf,7.09,12.38,1.04,3.1,3.96,90.78,10.83,181.01
govt,25.19,0.59,1.49,0.3,0,50.93,11.54,16.93
hh,20.21,76.04,23.68,19.57,0.01,4.22,2.47,176.38
row,440.92,33.98,125.68,192.23,8.76,306.25,0,0
