source,_nfc,_iv,_mfi,_ofi,_icpf,_govt,_hh,_row
iv,0.14,0,0.65,0.06,0,0.34,0,3.52
ofi,0.15,0,0.19,0.22,0,0.2,0,2.14
nfc,0.41,0,0.17,0.03,0.01,0.02,0,1.49
mfi,3.51,0,36.82,21.56,0.04,26.91,0,41.31
icpf,2.59,0,7.08,0.82,0.11,11.21,0,29
govt,0,0,3.63,0.02,0,14.99,0,2.49
hh,2.14,0,6.14,0.63,0.02,0.6,0,9.75
row,12.61,0,17.13,7.4,0.01,73.37,0,0
