source,_nfc,_iv,_mfi,_ofi,_icpf,_govt,_hh,_row
iv,0.14,0.09,0,6.68,0,0,0.02,2.89
ofi,0.03,0.85,0,63.1,0,0,0,352.57
nfc,0.07,0.1,0,0,0.02,0,0,0
mfi,3.67,4.71,0,6.28,0.18,0.44,1.34,56.8
icpf,0.02,0,0,0,0.44,0,0.06,1.06
govt,0.01,0,0,0,0,0.05,0,0
hh,0,0,0,0,0.09,0,0.02,0.01
row,0,62.02,0,565.46,7.26,0,0,0
