source,_iv,_mfi,_hh,_row
iv,0.09,0,0,0
ofi,0.17,0,0,0
nfc,0.1,0,0,0
mfi,0.27,0,0,0
icpf,0.07,0,0,0
govt,0,0,0,0
hh,1.15,0.07,0,0
row,2.99,0,0,0
