source,_iv,_mfi,_hh,_row
iv,0.05,0,0,0.15
ofi,0.05,0,0,0
nfc,0.08,0.01,0,0.02
mfi,0.01,0,0,0
icpf,0.67,0.01,0,0.85
govt,0.03,0,0,0.15
hh,1.05,0.02,0,0.2
row,0.02,0,0,0
