source,_iv,_mfi,_hh,_row
iv,0,0,0,58.34
ofi,10.13,0.47,0,183.66
nfc,4.34,0.74,0,7.25
mfi,7.09,0.12,0,4.26
icpf,21.85,0.32,0,127.61
govt,1.38,0.02,0,2.84
hh,210.43,17.3,0,214.52
row,13.94,-12.75,0,0
