source,_iv,_mfi,_hh,_row
iv,0,0,0,46.03
ofi,9.18,0.21,0,155.08
nfc,3.79,0.86,0,5.42
mfi,6.94,0.09,0,3.88
icpf,13.89,0.17,0,111.58
govt,1.38,0.02,0,2.83
hh,194.1,20.47,0,197.18
row,17.06,-14.45,0,0
